storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page
たかやま歯科医院,水戸市青柳町４７５９－２,na,na,2021年1月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000102,個人,高山正熙,高山正熙,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,2|0|2,32.4,na,na,8
田川歯科医院,水戸市鯉淵町６００５－１,na,na,2023年3月10日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000103,個人,田川弘祥,田川弘祥,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,18.2,na,na,8
竹内歯科医院,水戸市大工町３丁目９番２９号,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000104,個人,竹内貴司,竹内貴司,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,6.7,na,na,8
田崎歯科,水戸市千波町２３６－３,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000106,医療法人,医療法人社団美桜会,本間茂美,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,3|2|1,na,na,3|3|-,35,na,na,8
田澤歯科医院,水戸市姫子２丁目３５２番地１８号,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000107,個人,田澤重伸,田澤重伸,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,2|1|1,29.1,na,na,8
立原歯科診療所,水戸市泉町２－２－２９,na,na,2023年4月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000108,個人,白川敏明,白川敏明,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,10.4,na,na,8
たなか歯科医院,水戸市元吉田町３１５－１４,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000109,個人,田中淳司,田中淳司,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,20,na,na,8
谷川歯科医院,水戸市千波町２３７４－３９,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000110,個人,谷川好一,谷川好一,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1.4|1|0.4,na,na,4|4|-,50.5,na,na,8
丹下歯科医院,水戸市笠原町１２３１－８,na,na,2020年12月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000112,個人,丹下隆夫,丹下隆夫,"['歯科領域の一次診療', '成人の歯科矯正治療']",na,na,na,['院内処方'],na,na,na,1|1|-,na,na,na,2,na,na,8
中央通り歯科,水戸市元吉田町１２３４－２３,na,na,2015年2月10日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000113,個人,大久保肇,大久保肇,['歯科領域の一次診療'],['顎関節症治療'],na,na,['院内処方'],na,na,na,1|1|-,na,na,0|0|-,2.6,na,na,8
中央ビル歯科医院,水戸市泉町２－３－２,na,na,2023年4月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000114,個人,宮田宗広,宮田宗広,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '薬局との連携']",1|1|-,na,na,2|1|1,25,na,na,8
つばき歯科医院,水戸市笠原町９７８－２５,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000115,個人,椿和佳,椿和佳,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,1|1|-,34.2,na,na,9
富永歯科医院,水戸市河和田２－２１９６－１,na,na,2023年3月27日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000116,個人,富永明弘,富永明弘,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,0.5|-|0.5,20.4,na,na,9
友常歯科医院,水戸市東原２－４－４,na,na,2023年5月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000117,個人,友常洋一,友常洋一,['歯科領域の一次診療'],na,na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）']",na,na,na,1|-|-,na,na,-|-|0.5,7.6,na,na,9
外山歯科医院,水戸市大塚町１７４１－１１,na,na,2020年12月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000118,個人,外山敬三,外山敬三,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",2|2|0,na,na,4|2|2,56,na,na,9
永木歯科医院,水戸市城南１－１－１７,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000119,個人,永木修二,永木修二,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,5.1,na,na,9
中島歯科医院,水戸市石川１丁目４０２２－８,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000120,個人,中島繁樹,中島繁樹,"['歯科領域の一次診療', '成人の歯科矯正治療']",['埋伏歯抜歯'],na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療']",na,2|2|-,na,na,6|3|3,31.7,na,na,9
根本歯科医院,水戸市米沢町３７９－１０－１１,na,na,2023年3月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000121,個人,根本祐次,根本祐次,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '訪問看護ステーションとの連携']",1|1|-,na,na,1|1|-,10.5,na,na,9
のぐち歯科医院,水戸市城南２－５－４５,na,na,2023年3月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000122,医療法人,医療法人のぐち歯科医院,野口知彦,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|1|1,9.5,na,na,9
ハーモニーデンタルクリニック,水戸市泉町１－２－２５,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000123,個人,洞上正人,洞上正人,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施', '医療に関する相談窓口設置']",na,"['往診（終日対応することができるものに限る）', '歯科訪問診療']","['病院との連携', '居宅介護支援事業所との連携', '薬局との連携']",1|-|-,na,na,na,10,na,na,9
白田歯科医院,水戸市石川３－２０６１,na,na,2023年4月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000125,個人,白田公正,白田公正,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,13.1,na,na,9
橋本歯科医院,水戸市見川２－３０９４－２,na,na,2018年11月26日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000126,個人,橋本武典,橋本武典,na,na,na,na,"['院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,11,na,na,9
塙歯科,水戸市小吹町２５６８－４,na,na,2021年2月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000128,個人,塙政勝,塙政勝,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,1|1|-,23,na,na,9
医療法人ひかり歯科,水戸市河和田町１８５－５,na,na,2023年4月21日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000131,医療法人,医療法人ひかり歯科,白水寿美子,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']",['埋伏歯抜歯'],na,na,"['院内処方', '聴覚障害者への配慮（手話による対応）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,2|1|1,40,na,na,9
檜山歯科,水戸市本町１－１１－２０,na,na,2020年1月06日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000132,個人,中上恵子,中上恵子,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|1|1,30,na,na,9
平須歯科医院,水戸市平須町１－２０３,na,na,2020年12月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000133,個人,小暮雅人,小暮雅人,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療']",na,2|2|-,na,na,na,31,na,na,9
ファーストデンタルクリニック,水戸市宮町１－１－１,na,na,2015年2月10日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000134,医療法人,医療法人英徳会,大木理恵子,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,['院内処方'],na,na,na,7|2|5,na,na,4|2|2,19,na,na,9
フカヤ歯科クリニック,水戸市河和田２－１４－１１,na,na,2015年2月12日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000136,個人,深谷聖,深谷聖,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,25,na,na,9
福祉会館歯科診療室,水戸市千波町１９１８,na,na,2020年1月09日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000137,個人,小森二三夫,小森二三夫,"['歯科領域の一次診療', '成人の歯科矯正治療']",['顎関節症治療'],na,na,na,na,na,na,1|1|-,na,na,na,10,na,na,9
双葉台歯科医院,水戸市大塚町１６６０－２,na,na,2018年12月12日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000138,個人,山﨑洋子,山﨑洋子,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日対応することができるものに限る）', '歯科訪問診療']",na,2|1|1,na,na,na,40,na,na,9
医療法人古木歯科医院,水戸市東野町１５２－５,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000140,個人,古木要,古木要,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,8|7|1,45,na,na,9
ほうとく歯科,水戸市河和田町４４０５－１１８,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000141,個人,大津亮,大津亮,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,6|4|2,34.6,na,na,10
堀江歯科医院,水戸市笠原町１２５３－１,na,na,2019年12月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000143,個人,堀江利邦,堀江利邦,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,5,na,na,10
堀スマイル歯科,水戸市堀町１１６３－１８,na,na,2019年12月02日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000144,個人,月村光志,月村光志,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|-|-,na,na,na,20,na,na,10
医療法人 ホワイト歯科クリニック,水戸市石川３－４１３４－９,na,na,2023年4月21日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000145,医療法人,赤塚修,赤塚修,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1.7|1.7|0,20.3,na,na,10
松尾歯科医院,水戸市元吉田町１６３０－４,na,na,2023年7月11日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000147,個人,松尾裕之,松尾裕之,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導', '歯科疾患在宅療養管理']",na,1|1|-,na,na,3|2|1,31,na,na,10
松崎歯科,水戸市米沢町１１３－２,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000148,個人,松崎浩成,松崎浩成,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|2|-,30,na,na,10
松丸歯科クリニック,水戸市千波町２８９１－２１,na,na,2021年1月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000149,個人,松丸徹治,松丸徹治,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,3|3|0,52,na,na,10
丸山歯科医院,水戸市南町３－１－１０,na,na,2020年1月21日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000150,個人,丸山宇一,丸山宇一,['歯科領域の一次診療'],na,na,na,"['院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,9,na,na,10
水戸インプラント矯正歯科クリニック,水戸市南町１－３－３６,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000152,医療法人,医療法人社団崇尚会,宮井崇宏,"['歯科領域の一次診療', '成人の歯科矯正治療']",na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,2|2|0,14,na,na,10
水戸歯科クリニック矯正歯科センター,水戸市大工町３－３－２６,na,na,2023年7月28日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000153,個人,若松進治,若松進治,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療', '顎変形症の歯科矯正治療']",na,na,na,"['院外処方', '施設内における全面禁煙の実施']",na,na,na,2|2|1,na,na,2|2|-,28,na,na,10
三森歯科医院,水戸市大町１－２－４０,na,na,2022年3月07日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000154,個人,三森健治,三森健治,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,3|3|-,20.5,na,na,10
宮内歯科医院,水戸市平須町１８２８－１９２,na,na,2023年3月27日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000155,個人,宮内千年,宮内千年,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,2|1|1,25,na,na,10
宮永歯科医院,水戸市青柳町３８８５－３,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000156,個人,宮永久司,宮永久司,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施', '医療に関する相談窓口設置']",na,na,na,1|1|-,na,na,2.6|2|0.6,25,na,na,10
見和歯科クリニック,水戸市見和２－２４６－１,na,na,2023年3月27日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000157,個人,對馬利基,對馬利基,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日対応することができるものに限る）', '往診（終日往診可能以外）', '歯科訪問診療', '訪問歯科衛生指導']",na,2|2|4,na,na,2|1|2,60,na,na,10
村居歯科医院,水戸市末広町３－７－９,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000158,個人,村居 幸枝,村居 幸枝,"['歯科領域の一次診療', '成人の歯科矯正治療']",['顎関節症治療'],na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '施設内における全面禁煙の実施']",na,na,na,1.1|1|0.1,na,na,1|1|-,5,na,na,10
村田歯科医院,水戸市千波町１１９９－１１,na,na,2023年3月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000159,個人,村田智明,村田智明,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,4|3|1,25.8,na,na,10
村山歯科医院,水戸市城東２－１３－３２,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000160,個人,椎名和郎,椎名和郎,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '居宅介護支援事業所との連携']",1|1|-,na,na,-|-|5,15.5,na,na,10
むろふし歯科,水戸市元吉田町２１９７－１２,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000161,個人,田中久,田中久,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,-|1|1,na,na,-|1|-,20,na,na,10
元吉田あきやま歯科,水戸市元吉田町９７１,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000163,個人,秋山友則,秋山友則,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,2|2|-,22.2,na,na,10
森永歯科医院,水戸市城南２－１５－３０,na,na,2023年5月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000164,個人,森永桂輔,森永桂輔,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,['院内処方'],na,na,"['病院との連携', '薬局との連携']",2|2|-,na,na,4|4|-,35.4,na,na,10
諸岡歯科医院,水戸市三の丸１－４－２,na,na,2015年3月02日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000165,個人,諸岡光夫,諸岡光夫,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,-|1|0.5,na,na,-|2|-,28.4,na,na,11
やす歯科,水戸市大町２－２－７４,na,na,2023年5月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000166,個人,安伸浩,安伸浩,"['歯科領域の一次診療', '成人の歯科矯正治療']","['顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,"['往診（終日対応することができるものに限る）', '歯科訪問診療']","['病院との連携', '診療所との連携', '薬局との連携']",1|1|0,na,na,na,8.4,na,na,11
ユービ歯科,水戸市酒門町2980-25,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000167,個人,鈴木慶洋,鈴木慶洋,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施', '喫煙室の設置']",na,"['往診（終日往診可能以外）', '歯科訪問診療', '訪問歯科衛生指導', '歯科疾患在宅療養管理']","['病院との連携', '診療所との連携', '居宅介護支援事業所との連携']",1.1|1|0.1,na,na,5.2|4|1.2,58.7,na,na,11
横須賀歯科医院,水戸市西原２－３－３７,na,na,2023年3月30日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000168,個人,横須賀均,横須賀均,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|-,na,na,na,8,na,na,11
吉徳歯科医院,水戸市吉沢町３５２－２,na,na,2021年1月07日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000169,個人,金吉得,金吉得,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,na,25.1,na,na,11
米川歯科医院,水戸市平須町１８１９－７３,na,na,2022年3月04日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000170,個人,米川久,米川久,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,1|1|-,26.3,na,na,11
和田歯科医院,水戸市千波町２２６７－３,na,na,2015年2月10日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000171,個人,和田保子,和田保子,['歯科領域の一次診療'],na,na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '施設内における全面禁煙の実施']",na,na,na,1|-|-,na,na,2|-|-,4.5,na,na,11
赤津歯科,笠間市長兎路５２５－１,na,na,2023年3月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000172,個人,赤津直哉,赤津直哉,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方']",na,na,na,1|1|-,na,na,na,13.8,na,na,11
あさひ歯科クリニック,笠間市旭町９２－４,na,na,2015年2月17日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000173,個人,片岡優,片岡優,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2.5|2|3,na,na,4.5|4|1,45,na,na,11
あべ歯科クリニック,笠間市泉２１００－３,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000174,個人,阿部仰一,阿部仰一,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,20,na,na,11
安藤歯科医院,笠間市笠間１３９８,na,na,2023年3月30日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000176,個人,安藤仁,安藤仁,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,na,17,na,na,11
デンタルクリニック泉川,笠間市鯉淵６７４０－１０,na,na,2022年3月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000177,個人,泉川勇治,泉川勇治,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '喫煙室の設置']",na,na,"['病院との連携', '薬局との連携']",2|2|-,na,na,1|1|-,32.1,na,na,11
大沢歯科,笠間市下郷４５４２－１３６,na,na,2023年3月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000178,個人,大澤優子,大澤優子,na,na,na,na,"['院内処方', '施設内における全面禁煙の実施', '喫煙室の設置']",na,na,na,1|1|-,na,na,na,22,na,na,11
太田歯科医院,笠間市笠間１７０９－１,na,na,2023年3月10日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000179,個人,太田一三,太田一三,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,1.5|1|0.5,15.3,na,na,11
奥田歯科医院,笠間市旭町３２７－１,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000180,個人,奥田雅人,奥田雅人,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,26.4,na,na,11
