timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-03,むらた歯科,野々市市新庄3-131-1,石川県野々市市新庄三丁目131-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130040,個人,村田 賢司,村田 賢司,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, ]","[病院との連携, 居宅介護支援事業所との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,25,36.505232,136.612633,12,"[歯科, 矯正歯科, ]"
2023-09-03,もとむら歯科医院,小松市竜助町5,石川県小松市龍助町5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132041,個人,本村 欣也,本村 欣也,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, ]","[病院との連携, 訪問看護ステーションとの連携, ]",2|-|-,1|-|-,na|-|-,2|-|-,25,36.404588,136.448436,12,"[歯科, 小児歯科, 矯正歯科, ]"
2023-09-03,もりもと歯科,金沢市安江町11-6,石川県金沢市安江町11-6,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130069,個人,森本 雅人,森本 雅人,"[歯科領域の一次診療, 無]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌もしくは口腔粘膜の炎症、外傷又は腫瘍の治療, 無]",na,na,na,na,"[歯科訪問診療, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,15,36.5736238,136.6549326,12,"[歯科, 小児歯科, 歯科口腔外科, 矯正歯科, ]"
2023-09-03,もろはし歯科,鳳珠郡穴水町沖波ホ-216,石川県鳳珠郡穴水町字沖波ﾎ-216,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=4130017,個人,諸橋 宏昌,諸橋 宏昌,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, ]",na,1|-|-,na|-|-,na|-|-,na|-|-,2,37.212216435686535,137.05755999999997,12,"[歯科, 小児歯科, ]"
2023-09-03,やち歯科医院,羽咋市石野町イ60,石川県羽咋市石野町ｲ60,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3230012,個人,谷内 宏充,谷内 宏充,"[歯科領域の一次診療, na]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, 居宅介護支援事業所との連携, ]",2|-|-,1|-|-,na|-|-,2|-|-,25,36.894871,136.799141,13,"[歯科一般, 小児歯科, 矯正歯科, ]"
2023-09-03,やまもと歯科医院,金沢市駅西本町3－1－5,石川県金沢市駅西本町三丁目1-5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=255,個人,山本 敏史,山本 敏史,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,17,36.582347976940404,136.6352863,13,"[歯科, ]"
2023-09-03,よしお歯科クリニック,金沢市富樫1丁目8番2号,石川県金沢市富樫一丁目8-2,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130212,個人,結城 由夫,結城 由夫,"[歯科領域の一次診療, 無]",無,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,1|-|-,12,36.539544,136.646007,13,"[歯科, 歯科口腔外科, 矯正外科, 小児歯科, ]"
2023-09-03,よしだ歯科クリニック,金沢市八日市3-388,石川県金沢市八日市三丁目388,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130184,個人,吉田 成秀,吉田 成秀,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, 身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,na,na,1|-|-,3|-|-,na|-|-,1|-|-,20,36.546787,136.602746,13,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-03,よしだ歯科医院,河北郡内灘町大清台329,石川県河北郡内灘町字大清台329,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2230019,個人,吉田 哲,吉田 哲,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, 身体障害者用トイレ, ]",na,na,"[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,2|-|-,20,36.649308,136.643425,13,"[歯科, ]"
2023-09-03,わたなべ歯科クリニック,金沢市東長江町い27番地5,石川県金沢市東長江町ｲ27-5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130056,個人,渡邉 良人,渡邉 良人,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, ]",na,1|-|-,na|-|-,na|-|-,3|-|-,25,36.580265,136.68848,13,"[歯科, 小児歯科, ]"
2023-09-03,わたや歯科医院,金沢市大桑2丁目13番,石川県金沢市大桑二丁目13,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130140,個人,綿谷 晃,綿谷 晃,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,2|-|-,20,36.5384032,136.6731464,13,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,わだ歯科クリニック,金沢市疋田1-91,石川県金沢市疋田一丁目91,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130003,個人,和田 紀久,和田 紀久,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,予約診療有：初診・再診,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,2|-|-,25,36.603884,136.671971,13,"[歯科, 小児歯科, ]"
2023-09-03,アイビー歯科クリニック,金沢市久安3－353,石川県金沢市久安三丁目353,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=418,個人,海本 茂光,海本 茂光,"[歯科領域の一次診療, na]","[埋伏歯抜歯, na]",na,na,"[スロープ, 身体障害者用トイレ, ]",na,na,"[病院との連携, ]",2|-|-,na|-|-,na|-|-,2|-|-,na,36.5354223,136.6333856,13,na
2023-09-03,アイ歯科医院,羽咋市川原町テ58-1,石川県羽咋市川原町ﾃ58-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3230001,個人,高澤 一良,高澤 一良,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,2|-|-,20,36.894985,136.781893,13,"[歯科, ]"
2023-09-03,アル・プラザ歯科,加賀市作見町ル25番１ アビオシティ加賀１F,石川県加賀市作見町ﾙ25-1, ｱﾋﾞｵｼﾃｨ加賀1f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1231023,個人,高橋 康祐,高橋 康祐,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,"[病院との連携, 診療所との連携, 薬局との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,35,36.319793,136.35238,14,"[歯科, 小児歯科, 矯正歯科, 口腔外科, ]"
2023-09-03,アルバ歯科クリニック,金沢市暁町11-10,石川県金沢市暁町11-10,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=476,個人,山嶋 敦盛,〒920-0926,"[歯科領域の一次診療, 予約診療有：初診・再診]","[埋伏歯抜歯, 顎関節症治療, 予約診療有：初診・再診]",予約診療有：初診・再診,予約診療有：初診・再診,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, 居宅介護支援事業所との連携, 薬局との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,25,36.5626308,136.67412339999998,14,"[歯科, 小児歯科, 歯科口腔外科, 矯正歯科, ]"
2023-09-03,ア歯科診療所,金沢市南町4-60大同生命ビル4F,石川県金沢市南町4-60,大同生命ﾋﾞﾙ4f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130077,個人,森田 勝洋,森田 勝洋,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,na,na,na,na,2|-|-,1|-|-,na|-|-,na|-|-,12,36.566878,136.653756,14,"[歯科, ]"
2023-09-03,エメラルド歯科クリニック,金沢市神田２丁目１番37号,石川県金沢市神田二丁目1-37,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130225,個人,辻村 京一郎,辻村 京一郎,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,1|-|-,na|-|-,1|-|-,20,36.559024,136.635787,14,"[歯科, 小児歯科, ]"
2023-09-03,オードリー歯科,金沢市もりの里2丁目102番地,石川県金沢市ﾓﾘﾉ里二丁目102,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130129,個人,増田 邦光,増田 邦光,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, 身体障害者用トイレ, ]",na,na,na,2|-|-,na|-|-,na|-|-,2|-|-,40,36.552671,136.68747299999995,14,"[歯科, ]"
2023-09-03,カーム歯科医院,珠洲市飯田町ヨ-10,石川県珠洲市飯田町ﾖ-10,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=4230005,個人,中谷 静子,中谷 静子,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,1|-|-,na|-|-,2|-|-,28,37.444225,137.264246,14,"[歯科, ]"
2023-09-03,キタイチ歯科医院,金沢市涌波4丁目12番1号,石川県金沢市涌波四丁目12-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130107,個人,北市 信行,北市 信行,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, ]","[病院との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,20,36.535937,136.685699,14,"[歯科, ]"
2023-09-03,クラウン歯科クリニック,金沢市新神田５丁目３９番地,石川県金沢市新神田五丁目39,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=407,医療法人,白王会,南部 泰啓,"[歯科領域の一次診療, 予約診療有：初診・再診]","[埋伏歯抜歯, na]",na,na,na,na,na,na,4|-|-,1|-|-,na|-|-,na|-|-,50,36.5625995,136.62752920000003,14,"[歯科, ]"
2023-09-03,ケイ歯科,加賀市小菅波町２丁目８０－１ ヴィラ・プレステージ加賀,石川県加賀市小菅波町二丁目80-1, ｳﾞｨﾗ･ﾌﾟﾚｽﾃｰｼﾞ加賀,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=462,個人,金山 景錫,金山 景錫,"[歯科領域の一次診療, 顎変形症の歯科矯正治療, 障害者の歯科治療, 摂食機能障害の治療, 予約診療有：初診・再診]","[埋伏歯抜歯, 顎関節症治療, 顎変形症治療, 顎骨骨折治療, 口唇・舌もしくは口腔粘膜の炎症、外傷又は腫瘍の治療, 予約診療有：初診・再診]",予約診療有：初診・再診,na,"[スロープ, 身体障害者用トイレ, 車椅子利用者用駐車場, ]","[神経ブロック, ]","[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, 居宅介護支援事業所との連携, 薬局との連携, ]",1|-|-,na|-|-,na|-|-,3|-|-,35,36.3164817,136.34787010000002,14,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-03,ケン歯科クリニック,金沢市本町2－15－1 ポルテ金沢 2Ｆ,石川県金沢市本町二丁目15-1, ﾎﾟﾙﾃ金沢 2f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=257,医療法人,医療法人 松永,松永 健嗣,予約診療有：初診・再診,na,na,na,na,na,na,na,na|-|-,na|-|-,na|-|-,na|-|-,na,36.57634,136.6494328,14,"[歯科, ]"
2023-09-03,サン歯科クリニック,加賀市大聖寺南町ホ28-3,石川県加賀市大聖寺南町ﾎ28-3,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1231017,個人,金谷 隆裕,金谷 隆裕,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,na,na,na,"[病院との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,25,36.302079,136.313403,15,"[歯科, ]"
2023-09-03,シーサイドデンタルクリニック,河北郡内灘町千鳥台4丁目－1,石川県河北郡内灘町字千鳥台四丁目1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2230020,個人,山口 哲也,山口 哲也,"[歯科領域の一次診療, 無]",na,na,na,"[身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,"[歯科訪問診療, ]","[診療所との連携, 薬局との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,20,36.639334,136.624616,15,"[歯科, 小児歯科, ]"
2023-09-03,ジョム・デンタルクリニック,金沢市小坂町西16-14,石川県金沢市小坂町西16-14,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=408,個人,白石 望,白石 望,"[歯科領域の一次診療, na]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,2|-|-,15,36.5906466,136.6707725,15,na
2023-09-03,スター矯正歯科・歯科,金沢市有松2-16-1,石川県金沢市有松二丁目16-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130209,個人,福田 哲也,福田 哲也,"[歯科領域の一次診療, 無]",無,na,na,na,na,na,na,2|-|-,na|-|-,na|-|-,2|-|-,20,36.544146,136.634879,15,"[矯正歯科, 歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,スマイル歯科クリニック,羽咋郡志賀町高浜町ノ-587-5,石川県羽咋郡志賀町高浜町ﾉ-587-5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3230021,個人,濱田 門,濱田 門,"[歯科領域の一次診療, na]",na,予約診療有：初診・再診,予約診療有：初診・再診,"[スロープ, ]",na,"[歯科訪問診療, ]",na,2|-|-,na|-|-,na|-|-,2|-|-,40 ,36.997849,136.777012,15,"[一般歯科, 矯正歯科, 小児歯科, 口腔歯科, ]"
2023-09-03,ツシマ歯科医院,金沢市泉野町6丁目15番35号,石川県金沢市泉野町六丁目15-35,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130159,個人,津島 毅彦,津島 毅彦,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",2|-|-,1|-|-,na|-|-,2|-|-,20,36.543538,136.649148,15,"[歯科, ]"
2023-09-03,デンタルオフィス大森,金沢市鞍月5丁目181番地 AUBE 2F,石川県金沢市鞍月五丁目181, aube 2f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130139,医療法人,おおもりクリニック,大森 久仁子,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,"[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,4|-|-,20,36.596909,136.625869,15,"[歯科, ]"
2023-09-03,デンタルケア南條歯科,金沢市小坂町南６５０,石川県金沢市小坂町南650,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=409,個人,南條 麗子,南條 麗子,"[歯科領域の一次診療, 予約診療有：再診]",na,na,na,"[スロープ, 身体障害者用トイレ, ]",na,na,na,1|-|-,0|-|-,na|-|-,3|-|-,22,36.58702930720972,136.67898384232785,15,"[歯科, ]"
2023-09-03,ニコニコ歯科クリニック,金沢市戸板第二土地区画整理地28街区３－１,石川県金沢市戸板第二土地区画整理地28-3-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=410,個人,達村 幸浩,達村 幸浩,"[歯科領域の一次診療, 障害者の歯科治療, na]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌もしくは口腔粘膜の炎症、外傷又は腫瘍の治療, na]",na,na,na,na,"[歯科訪問診療, ]",na,1|-|-,0|-|-,na|-|-,1|-|-,na,36.56173896993566,136.6562051,15,na
2023-09-03,ハッピー歯科医院,金沢市八日市5丁目559,石川県金沢市八日市五丁目559,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130174,医療法人,ハッピー歯科医院,院長 福村 安紀,"[歯科領域の一次診療, na]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,4|-|-,30,36.550186,136.6113,15,"[予防歯科, 小児歯科, 口腔外科, インプラント, 審美, 一般治療, ]"
2023-09-03,ハビリ歯科診療所,金沢市別所町710番地ハビリポート若葉内,石川県金沢市別所町710,ﾊﾋﾞﾘﾎﾟ-ﾄ若葉内,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130131,個人,谷 一則,谷 一則,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, 身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,na,"[病院との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,0,36.501536,136.671177,16,"[歯科, ]"
2023-09-03,パールデンタルクリニック,小松市細工町47,石川県小松市細工町47,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=276,個人,大屋 公伸,大屋 公伸,"[歯科領域の一次診療, 予約診療有：初診・再診]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌もしくは口腔粘膜の炎症、外傷又は腫瘍の治療, 予約診療有：初診・再診]",予約診療有：初診・再診,na,na,na,na,na,1|-|-,na|-|-,na|-|-,6|-|-,35,36.40805734134034,136.45126938650821,16,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,ヒラ歯科医院,金沢市笠舞1丁目23番23号,石川県金沢市笠舞一丁目23-23,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130116,個人,平 一彦,平 一彦,"[歯科領域の一次診療, 無]",無,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",2|-|-,2|-|-,na|-|-,4|-|-,30,36.546014,136.676641,16,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,ヒロデンタルクリニック,金沢市示野中町1丁目22番地,石川県金沢市示野中町一丁目22,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130024,個人,小竹 洋,小竹 洋,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,予約診療有：初診・再診,na,"[スロープ, 身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,18,36.576772,136.618045,16,"[歯科, 小児歯科, ]"
2023-09-03,ヒロ歯科クリニック,小松市福乃宮町2-114,石川県小松市福乃宮町二丁目114,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132037,個人,安井 浩,安井 浩,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,na,na,"[歯科訪問診療, ]",na,1|-|-,na|-|-,na|-|-,2|-|-,35,36.390788,136.453987,16,"[歯科, ]"
2023-09-03,ファミリー歯科,金沢市大桑2丁目261番,石川県金沢市大桑二丁目261,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130222,個人,小林 修,小林 修,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,"[診療所との連携, ]",2|-|-,na|-|-,na|-|-,3|-|-,30,36.5356396,136.6747242,16,"[歯科, 小児歯科, ]"
2023-09-03,フォーラムデンタルクリニック,羽咋郡志賀町高浜ヤ230-2,石川県羽咋郡志賀町高浜町ﾔ230-2,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3230018,個人,山口 健一,山口 健一,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, 身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,na,"[病院との連携, ]",1|-|-,na|-|-,na|-|-,1|-|-,30,37.001724,136.777468,16,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,ホワイト歯科診療所,金沢市堀川町4番22号,石川県金沢市堀川町4-22,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130063,個人,白尾 理英,白尾 理英,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, ]",1|-|-,1|-|-,na|-|-,2|-|-,22,36.578601,136.651632,16,"[歯科, 矯正歯科, ]"
2023-09-03,マサミ歯科医院,金沢市高尾台2丁目34番地,石川県金沢市高尾台二丁目34,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130207,個人,長田 昌巳,長田 昌巳,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,na|-|-,20,36.524213,136.630209,16,"[歯科, 小児歯科, ]"
2023-09-03,マダチ歯科クリニック,白山市八ツ矢町467－1,石川県白山市八ﾂ矢町467-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=307,個人,眞舘 圭介,眞舘 圭介,"[歯科領域の一次診療, 障害者の歯科治療, 予約診療有：初診・再診]","[埋伏歯抜歯, 顎関節症治療, na]",予約診療有：初診・再診,na,"[スロープ, 身体障害者用トイレ, ]",na,na,na,2|-|-,na|-|-,na|-|-,2|-|-,na,36.5267199,136.5712492,16,"[歯科, 小児歯科, ]"
2023-09-03,マツモト歯科医院,七尾市御祓町ホ部26-4,石川県七尾市御祓町ﾎ部26-4,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3130025,個人,松本 博雄,松本 秀彦,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, ]",na,na,na,2|-|-,1|-|-,na|-|-,2|-|-,20,37.043831,136.963712,17,"[歯科, 矯正歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-03,ミドリ歯科クリニック,金沢市みどり3丁目21番3号,石川県金沢市ﾐﾄﾞﾘ三丁目21-3,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130229,個人,熊沢 芳郎,熊沢 芳郎,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,"[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,15,36.567323,136.58362,17,"[歯科, ]"
2023-09-03,モリ歯科クリニック,金沢市菊川1丁目34番30号,石川県金沢市菊川一丁目34-30,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130118,個人,森 喜久男,森 喜久男,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, ]",1|-|-,na|-|-,na|-|-,2|-|-,20,36.551746,136.665134,17,"[歯科, 小児歯科, ]"
2023-09-03,ヴィ歯科医院,野々市市三日市1-5,石川県野々市市三日市一丁目5,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130035,医療法人,HAL,柳下 治男,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, ]",na,na,na,2|-|-,1|-|-,na|-|-,4|-|-,38,36.5362247,136.59680000000003,17,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,阿部歯科クリニック,白山市米永町271-7,石川県白山市米永町271-7,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130002,個人,阿部 吉晃,阿部 吉晃,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[診療所との連携, ]",2|-|-,na|-|-,na|-|-,3|-|-,40,36.515873,136.540802,17,"[歯科, 矯正歯科, ]"
2023-09-03,旭丘歯科,白山市宮永新町331番地1号,石川県白山市宮永新町331-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130001,個人,柏井 良男,柏井 良男,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,na,"[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,na|-|-,15,36.54635,136.5762,17,"[歯科, 小児歯科, ]"
2023-09-03,粟倉歯科医院,河北郡内灘町緑台1-245-3,石川県河北郡内灘町字緑台一丁目245-3,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2230012,個人,粟倉 あずさ,粟倉 あずさ,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,2|-|-,0|-|-,na|-|-,4|-|-,20,36.633879,136.630485,17,"[歯科, ]"
2023-09-03,粟津歯科医院,小松市蓑輪町ニ66-1,石川県小松市蓑輪町ﾆ66-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132002,個人,久保 伸一郎,久保 伸一郎,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,na|-|-,15,36.353463,136.423556,17,"[歯科, ]"
2023-09-03,安井デンタルクリニック,小松市日の出町1-165,石川県小松市日ﾉ出町一丁目165,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132042,個人,安井 敏成,安井 敏成,"[歯科領域の一次診療, 無]",無,na,na,"[スロープ, 身体障害者用トイレ, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",2|-|-,1|-|-,na|-|-,3|-|-,40,36.40059,136.456209,17,"[歯科, 小児歯科, 矯正歯科, 歯科口腔外科, ]"
2023-09-03,安井歯科医院,小松市大川町3-33,石川県小松市大川町三丁目33,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132043,個人,安井 秀樹,安井 秀樹,"[歯科領域の一次診療, 無]",na,na,na,na,na,"[歯科訪問診療, ]","[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, ]",2|-|-,na|-|-,na|-|-,4|-|-,40,36.412656,136.450334,17,"[歯科, 矯正歯科, ]"
2023-09-03,安宅歯科医院,金沢市柿木畠5番6号,石川県金沢市柿木畠5-6,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130112,個人,安宅 克昭,安宅 克昭,"[歯科領域の一次診療, 無]",無,na,na,na,na,"[歯科訪問診療, 訪問歯科衛生指導, ]",na,1|-|-,na|-|-,na|-|-,3|-|-,20,36.56073,136.655341,18,"[歯科, 小児歯科, 矯正歯科, 歯科口腔外科, ]"
2023-09-03,伊川歯科医院,金沢市木倉町1番1号エコービル３Ｆ,石川県金沢市木倉町1-1, ｴｺｰﾋﾞﾙ3f,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130123,個人,伊川 桂次,伊川 桂次,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,3|-|-,1|-|-,na|-|-,4|-|-,27,36.561344,136.652777,18,"[歯科, ]"
2023-09-03,伊藤歯科医院,小松市日の出町３丁目１８１,石川県小松市日ﾉ出町三丁目181,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=529,個人,竹田 礼,竹田 礼,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,"[スロープ, 身体障害者用トイレ, ]",na,na,na,na|-|-,na|-|-,na|-|-,3|-|-,20,36.396019,136.453244,18,"[歯科, ]"
2023-09-03,伊藤歯科医院,金沢市大樋町3番44号,石川県金沢市大樋町3-44,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130055,個人,伊藤 基夫,伊藤 基夫,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,4|-|-,20,36.5867444,136.676,18,"[歯科, ]"
2023-09-03,医療保人社団 たかせ会 たかせ歯科医院,珠洲市宝立町金峰寺未32-1,石川県珠洲市宝立町金峰寺未32-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=4230007,医療法人, たかせ会,高瀬 真二,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,na,"[スロープ, 車椅子利用者用駐車場, ]",na,"[在宅患者訪問薬剤管理指導, 歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, 診療所との連携, ]",1|-|-,na|-|-,na|-|-,2|-|-,40,37.40138,137.232234,18,"[歯科, ]"
